overall_rank,course,eligible_rank,net_preference_score,most_share,least_share,most_count,neutral_count,least_count,did_not_take_count,taken_count,average_rank_value
2,ACC 6150 Info Sys Audit,1,0.869565,0.913043,0.043478,21,1,1,32,23,3.490909
3,ACC 6400 Advanced Tax Business Entities,2,0.744186,0.744186,0.0,32,11,0,12,43,1.854545
4,ACC 6060 Professionalism and Leadership,3,0.698113,0.735849,0.037736,39,12,2,2,53,2.018182
5,ACC 6600 Business Law for Accountants (if taken as an elective),4,0.666667,0.75,0.083333,9,2,1,43,12,3.581818
6,ACC 6600 Business Law for Accountants,5,0.647059,0.764706,0.117647,13,2,2,38,17,1.781818
7,ACC 6410 Tax Research & Procedure,6,0.615385,0.692308,0.076923,9,3,1,42,13,3.709091
8,ACC 6300 Data Analytics,7,0.59375,0.59375,0.0,19,13,0,23,32,1.945455
9,ACC 6420 Corporate Tax,8,0.578947,0.631579,0.052632,12,6,1,36,19,3.018182
10,ACC 6140 Fraud Exam & Forensic Acc,9,0.315789,0.473684,0.157895,9,7,3,36,19,4.545455
11,ACC 6350 Mgmt Control Sys (if taken as an elective),10,0.3125,0.5,0.1875,8,5,3,39,16,3.309091
12,ACC 6250 Financial Reporting and Analysis,11,0.294118,0.352941,0.058824,6,10,1,38,17,3.090909
13,ACC 6560 Financial Theory & Research I,12,0.269231,0.461538,0.192308,24,18,10,3,52,2.072727
14,ACC 6440 Partnership Tax,13,0.266667,0.533333,0.266667,8,3,4,40,15,3.418182
15,ACC 6030 Financial Accounting Reporting,14,0.2,0.333333,0.133333,15,24,6,10,45,2.181818
16,ACC 6350 Managment Control Systems,15,0.196078,0.470588,0.27451,24,13,14,4,51,2
17,ACC 6510 Financial Audit,16,-0.076923,0.25,0.326923,13,22,17,3,52,1.781818
18,ACC 6610 Finance Statement Research,17,-0.15,0.35,0.5,7,3,10,35,20,2.818182
19,ACC 6540 Professional Ethics,18,-0.42,0.16,0.58,8,13,29,5,50,1.963636
